id,cycle,interstage_alarms,inlet_pressure,inlet_temp,discharge_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
6,59,0.0,76.0,8.8913788859874e-41,4.824250223131051e-41,88.0,87.0185165405273,165.270263671875,251.800003051758,192.715286254883,247.600006103516,380.399993896484,112.748260498047,387.799987792969,89.5,90.0,18.837666666666667,38
6,60,0.0,139.0,8.280132495848911e-41,4.8092563295627696e-42,91.0,99.8888931274414,163.146423339844,227.300003051758,198.375,224.899993896484,477.399993896484,114.53125,634.4000244140631,91.5,91.8000030517578,18.501733333333334,37
6,61,0.0,91.0,2.1439866504169697e-43,9.73902432705748e-42,91.5,92.0,166.606491088867,250.699996948242,213.797744750977,258.600006103516,980.0,110.356773376465,325.20001220703097,88.0,88.0,11.502166666666666,36
6,62,0.0,89.5,1.75442567733467e-42,4.461594180563789e-41,91.5,89.0,167.53010559082,240.600006103516,202.046875,279.20001220703097,271.20001220703097,113.711807250977,1294.40002441406,91.5,91.9000015258789,13.169666666666666,35
6,63,0.0,104.5,2.51392944499872e-41,8.519334143709159e-41,92.0,104.5,161.274017333984,228.899993896484,198.772567749023,218.100006103516,517.200012207031,113.814239501953,704.400024414063,94.0,94.0999984741211,15.335550000000001,34
6,64,0.0,92.0,8.8913788859874e-41,8.61364153035822e-41,91.5,93.0185165405273,168.05325317382798,245.300003051758,221.689239501953,242.699996948242,498.399993896484,108.465278625488,690.7999877929691,87.0,88.0,10.3345,33
6,65,0.0,92.0,7.57331755044347e-41,4.461594180563789e-41,94.5,86.0185165405273,169.82351684570298,254.300003051758,211.99133300781298,251.5,250.5,115.03125,329.79998779296903,91.0,91.5999984741211,12.669783333333333,32
6,66,0.0,91.5,6.78144378825352e-41,8.646852303962719e-41,94.5,242.0,163.606491088867,246.699996948242,203.46354675293,248.0,793.599975585938,115.54296875,935.599975585938,96.0,96.5999984741211,16.171716666666665,31
6,67,0.0,200.0,8.338566641811259e-41,1.32983224264425e-42,94.0,102.0,166.933456420898,230.5,198.77952575683602,245.300003051758,229.300003051758,115.116317749023,1151.19995117188,95.0,95.5,12.5025,30
6,68,0.0,91.5,8.13313628694124e-42,8.115339796444308e-41,93.5,84.8888931274414,162.994232177734,243.0,194.67707824707,241.100006103516,488.0,117.75998687744101,624.0,97.0,97.5,19.839616666666664,29
6,69,0.0,260.0,4.78851711229076e-41,5.458057518545159e-41,97.0,92.0185165405273,161.606491088867,239.600006103516,191.328994750977,230.699996948242,230.699996948242,117.380210876465,672.799987792969,101.0,101.099998474121,31.172833333333333,28
6,70,0.0,192.0,1.1905431752903597e-41,1.1905431752903597e-41,97.5,217.037033081055,158.809616088867,241.100006103516,207.29948425293,251.600006103516,1020.4000244140599,118.465278625488,1239.19995117188,98.5,98.8000030517578,16.171666666666667,27
6,71,0.0,89.5,1.6634814069999898e-41,5.82211485957675e-41,97.5,92.5185165405273,164.185195922852,236.5,205.431427001953,259.0,246.5,118.418403625488,1292.0,100.0,100.0,17.00355,26
6,72,0.0,193.0,6.954223888904771e-41,6.4068767087395e-41,96.5,222.037033081055,158.330749511719,238.199996948242,204.95051574707,256.20001220703097,997.2000122070309,120.158851623535,1184.80004882813,100.5,100.800003051758,21.002783333333333,25
6,73,0.0,75.5,6.3616147683418e-41,5.92749250409398e-42,97.0,87.3888931274414,167.33450317382798,221.100006103516,195.77952575683602,218.600006103516,367.600006103516,118.705726623535,326.399993896484,99.5,99.9000015258789,18.3401,24
6,74,0.0,74.0,1.3830815842885898e-42,7.11887645846294e-41,96.5,91.5185165405273,166.223968505859,247.800003051758,196.480895996094,238.300003051758,237.300003051758,118.75998687744101,329.600006103516,99.0,99.0999984741211,16.0045,23
6,75,0.0,74.0,7.339580966594091e-41,5.051540834044529e-41,98.0,85.3888931274414,160.71760559082,244.0,192.72395324707,236.300003051758,484.399993896484,118.194007873535,626.0,101.5,102.199996948242,18.337666666666667,22
6,76,0.0,189.0,8.540633880366898e-41,2.6347213726235195e-41,95.5,219.777786254883,159.364883422852,239.800003051758,192.706604003906,259.20001220703097,259.20001220703097,119.321617126465,327.399993896484,98.5,98.8000030517578,17.837283333333335,21
6,77,0.0,173.0,7.1799730715075e-41,4.843027622552999e-41,96.0,202.037033081055,155.112289428711,233.899993896484,205.671875,343.600006103516,1128.0,118.264755249023,1536.8000488281302,98.0,98.8000030517578,24.84371666666667,20
6,78,0.0,74.5,7.456449258518779e-41,5.61766541363176e-41,96.5,85.5185165405273,166.50753784179702,220.800003051758,199.33679199218798,213.600006103516,213.600006103516,116.53125,582.4000244140631,97.0,97.0,15.502833333333333,19
6,79,0.0,92.0,5.56974100615185e-41,4.50419365387926e-41,95.0,85.0185165405273,162.934616088867,243.100006103516,189.27258300781298,236.5,467.399993896484,116.151473999023,325.600006103516,97.0,97.0,16.336616666666668,18
6,80,0.0,75.5,2.9124587282527003e-41,7.949426058268249e-41,96.5,85.5,162.402206420898,244.5,186.119781494141,234.0,416.799987792969,116.80251312255899,327.399993896484,97.5,97.6999969482422,22.003333333333334,17
6,81,0.0,92.0,4.905525534061889e-41,5.458057518545159e-41,96.0,92.0185165405273,161.099853515625,246.800003051758,193.574661254883,236.300003051758,236.300003051758,118.922744750977,328.79998779296903,96.0,96.3000030517578,17.836616666666664,16
6,82,0.0,100.0,1.4616944281372197e-41,8.61364153035822e-41,96.0,100.0,166.88253784179702,231.600006103516,201.289932250977,224.0,225.199996948242,116.976997375488,326.20001220703097,94.0,94.0999984741211,11.6686,15
6,83,0.0,91.5,3.45980590841797e-41,8.779835528227141e-41,96.0,244.777786254883,167.810775756836,244.699996948242,196.35765075683602,240.0,791.599975585938,118.248260498047,326.600006103516,96.0,95.9000015258789,15.8379,14
6,84,0.0,194.0,4.745917638975289e-41,6.288466988504049e-41,96.0,89.5185165405273,156.883972167969,236.0,203.95051574707,288.399993896484,1000.79998779297,117.305557250977,1204.80004882813,96.0,96.0999984741211,20.848883333333333,13
6,85,0.0,96.0,5.263277032004009e-42,8.115339796444308e-41,95.0,96.0185165405273,168.853012084961,240.800003051758,204.800354003906,245.100006103516,231.100006103516,117.345054626465,1019.5999755859401,92.5,92.6999969482422,15.180666666666667,12
