id,cycle,inlet_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
7,56,75,89.5,86.01851654,153.2367096,244,180.7708435,242.6000061,445.3999939,111.2482605,511.3999939,91,91,26.3536,24
7,57,102.5,89,102.8888931,153.6568451,227,173.4392395,219.5,782,108.7057266,328,91.5,91.80000305,22.18583333,23
7,58,97.5,87,229.0370331,149.7453918,225.5,191.0282135,239.8999939,946.7999878,107.1106796,1100.800049,88.5,88.90000153,19.6834,22
7,59,75.5,86,86.88889313,156.5769806,248.8000031,181.6770782,245.8999939,396.3999939,106.9769974,327.3999939,87,87.40000153,16.6785,21
7,60,92,87,85.51851654,145.6579895,239.5,171.2899323,234.6000061,237.6000061,106.9652786,597.2000122,89,89.09999847,25.51993333,20
7,61,92,86,92.88889313,162.1851959,254.6000061,197.2083282,257.2000122,257.6000061,107.9887161,327.2000122,83.5,83.69999695,20.8499,19
7,62,101.5,87.5,86.01851654,153.3547668,222.1000061,171.7881927,221.5,220.5,108.1940079,326.3999939,88.5,88.69999695,26.85543333,18
7,63,206,86,93.88889313,142.8579407,238.1999969,178.3463593,243.5,875.5999756,103.9769974,328.6000061,88.5,88.90000153,26.85473333,17
7,64,92,85.5,85.01851654,144.2702637,243.1000061,164.5920105,237,452.2000122,104.3142395,328.6000061,87.5,88,25.85266667,16
7,65,90,85,91.88889313,146.3767395,235.1000061,185.5707397,266,962.7999878,104.7821198,329.6000061,86,86.19999695,21.1836,15
7,66,75,86.5,84.5,116.586235,193.8000031,120.8732605,188.1999969,188.1999969,98.66319275,368.7999878,85.5,85.59999847,82.40033333,14
7,67,260,84,274,111.5583115,121.8000031,120.8081589,112.1999969,421.6000061,94.2482605,575.2000122,84,84,109.9275667,13
7,68,219,80.5,251.1481476,109.8712463,176.8000031,111.5842056,171.8000031,674.4000244,92.97699738,330.3999939,81.5,81.90000153,78.22893333,12
7,69,74.5,77,84.51851654,130.0532532,241.3999939,145.1666718,234.3000031,437.6000061,93.85677338,328,80.5,80.59999847,26.68833333,11
7,70,93,76.5,93.70370483,142.1383209,249.3999939,157.6510468,248.6000061,248.6000061,95.85677338,329.7999878,79.5,79.5,22.6845,10
7,71,176,75,205.4074097,137.4398346,232.8000031,152.28125,320.7999878,298.7999878,94.81207275,328,79.5,79.5,28.35583333,9
7,72,91,75.5,217.0370331,134.2309113,235.1000061,146.4895935,280.6000061,1020.799988,92.65625,1220,79,79,29.35823333,8
7,73,226,74,253.0370331,146.3426056,255.6000061,179.6041718,257.3999939,257.3999939,94.08550262,835.5999756,75.5,75.90000153,16.18055,7
7,74,232,73.5,261.5555725,146.425354,258.7999878,181.8793335,259.2000122,620.7999878,96.04296875,758,74.5,74.80000305,19.51721667,6
7,75,193,74.5,222.1481476,140.6201019,244.8999939,178.8420105,254,958.7999878,95.70572662,1115.199951,76.5,76.80000305,20.18516667,5
7,76,92.5,76.5,238.1481476,148.5706177,259,188.4487762,258.7999878,259.2000122,96.97699738,324,73.5,73.59999847,15.8449,4
7,77,92.5,76,86.57407379,153.8489685,253.1999969,175.7361145,257.7999878,254.1000061,97.04296875,327.3999939,76.5,76.59999847,16.84766667,3
7,78,92.5,75.5,92.70370483,155.9809113,257.2000122,189.0538177,259.7999878,259.7999878,99.00043488,660,75.5,75.69999695,17.34505,2
7,79,207,77.5,234.0370331,146.592041,251.5,185.9665833,254.6999969,864,100.2057266,979.5999756,79,79.30000305,22.85338333,1
7,80,104,150,450,325,1098,325,2660,350,3800,350,140,79.30000305,22.85338333,0
8,1,211,79.5,238.1481476,151.5706177,256.7999878,197.904953,256.7999878,833.5999756,101.7599869,944.7999878,77.5,77.69999695,15.34561667,77
8,2,92.5,81.5,259.5555725,158.1255951,257,190.8828125,257.2000122,642.4000244,103.4227448,328,78.5,78.80000305,15.67938333,76
8,3,172,81.5,200.0370331,148.303833,239.8000031,198.4006042,329.3999939,1143.199951,102.7369843,1523.199951,81,81.30000305,15.34633333,75
8,4,92.5,84,92.57407379,161.0405121,249.6999969,193,250.8999939,250.1000061,107.3919296,326.3999939,82,82.40000153,23.18516667,74
8,5,92,84.5,92.57407379,160.4022064,254.3000031,185.1232605,251.1999969,253.3999939,107.03125,327.6000061,84,84.40000153,18.01333333,73
8,6,98.5,84,236.1481476,162.9890137,237.8999939,194.9791565,232.5,230.6999969,108.0855026,329.2000122,83,83.30000305,17.3464,72
8,7,188,85,214.0370331,153.4820709,242.3999939,202.5707397,271.7999878,1036.800049,107.4227448,1248.800049,83.5,83.80000305,15.51271667,71
8,8,232,86,260.0740662,156.3891907,229.5,194.081604,228.6000061,606.7999878,109.8142395,758.7999878,87,87.40000153,16.847,70
8,9,204,87,235.0370331,163.1255951,254.6999969,206.90625,252.6000061,254.8000031,106.271698,1002,83.5,83.69999695,12.17678333,69
8,10,84,88.5,204.0370331,163.6533661,226.1000061,192.6857605,360.2000122,261.7999878,111.2196198,1435.199951,86.5,86.90000153,18.34683333,68
8,11,90,88,86.01851654,161.6707306,260.2000122,226.2934113,259.2000122,259.7999878,101.4887161,410.2000122,81,81.30000305,13.0106,67
8,12,75,89,92.01851654,152.4282532,245.3000031,182.421875,244.1999969,471.6000061,110.8802109,585.5999756,90.5,90.90000153,21.18495,66
8,13,91.5,88.5,86.51851654,166.5341644,254.3999939,201.146698,252,252,110.4461823,326,86.5,86.5,14.84611667,65
8,14,92,89,124.0185165,165.6064911,248.8000031,195.3958282,245.1000061,244.1000061,111.7174454,324,88,88.19999695,20.68238333,64
